strain	date	region	country	division	lineage	is_lab_host	host	genbank_accession	authors
USA/PP_000SKKR.1/2019-08-05	2019-08-05	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201367.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SKLP.1/2019-08-08	2019-08-08	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201825.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SKMM.1/2019-08-08	2019-08-08	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201386.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SKNK.1/2019-08-12	2019-08-12	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201817.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SKPH.1/2019-08-13	2019-08-13	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201816.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SKQF.1/2019-08-13	2019-08-13	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201384.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SKRD.1/2019-08-13	2019-08-13	North America	USA	Connecticut	1A	False	Culex restuans	OZ201813.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SKSB.1/2019-08-13	2019-08-13	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201379.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SKT9.1/2019-08-13	2019-08-13	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201834.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SKU7.1/2019-08-14	2019-08-14	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201487.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SKV5.1/2019-08-14	2019-08-14	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201836.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SKW3.1/2019-08-14	2019-08-14	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201499.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SKX1.1/2019-08-14	2019-08-14	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201413.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SKYZ.1/2019-08-14	2019-08-14	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201529.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SKZX.1/2019-08-15	2019-08-15	North America	USA	Connecticut	1A	False	Culex restuans	OZ201460.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SL0V.1/2019-08-19	2019-08-19	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201513.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SL1T.1/2019-08-19	2019-08-19	North America	USA	Connecticut	1A	False	Culex restuans	OZ201671.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SL2R.1/2019-08-19	2019-08-19	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201515.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SL3P.1/2019-08-20	2019-08-20	North America	USA	Connecticut	1A	False	Culex salinarius	OZ201758.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SL4M.1/2019-08-21	2019-08-21	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201520.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SL5K.1/2019-08-21	2019-08-21	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201517.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SL6H.1/2019-08-21	2019-08-21	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201742.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SL7F.1/2019-08-21	2019-08-21	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201511.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SL8D.1/2019-08-22	2019-08-22	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201525.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SL9B.1/2019-08-22	2019-08-22	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201707.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SLA9.1/2019-08-22	2019-08-22	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201528.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SLB7.1/2019-08-22	2019-08-22	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201633.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SLC5.1/2019-08-27	2019-08-27	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201531.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SLD3.1/2019-08-27	2019-08-27	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201625.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SLE1.1/2019-08-27	2019-08-27	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201522.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SLFZ.1/2019-08-28	2019-08-28	North America	USA	Connecticut	1A	False	Culex restuans	OZ201474.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SLGX.1/2019-08-29	2019-08-29	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201527.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SLHU.1/2019-08-29	2019-08-29	North America	USA	Connecticut	1A	False	Culex salinarius	OZ201472.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SLJS.1/2019-08-29	2019-08-29	North America	USA	Connecticut	1A	False	Coquillettidia perturbans	OZ201509.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SLKQ.1/2019-08-29	2019-08-29	North America	USA	Connecticut	1A	False	Coquillettidia perturbans	OZ201761.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SLLN.1/2019-08-29	2019-08-29	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201741.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SLML.1/2019-08-29	2019-08-29	North America	USA	Connecticut	1A	False	Culex restuans	OZ201377.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SLNJ.1/2019-09-03	2019-09-03	North America	USA	Connecticut	1A	False	Coquillettidia perturbans	OZ201572.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SLPG.1/2019-09-03	2019-09-03	North America	USA	Connecticut	1A	False	Culex salinarius	OZ201352.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SLQE.1/2019-09-03	2019-09-03	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201569.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SLRC.1/2019-09-03	2019-09-03	North America	USA	Connecticut	1A	False	Culex salinarius	OZ201570.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SLSA.1/2019-09-03	2019-09-03	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201365.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SLT8.1/2019-09-04	2019-09-04	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201565.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SLU6.1/2019-09-05	2019-09-05	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201351.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SLV4.1/2019-09-05	2019-09-05	North America	USA	Connecticut	1A	False	Culex restuans	OZ201564.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SLW2.1/2019-09-05	2019-09-05	North America	USA	Connecticut	1A	False	Culex restuans	OZ201358.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SLX0.1/2019-09-05	2019-09-05	North America	USA	Connecticut	1A	False	Culex restuans	OZ201566.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SLYY.1/2019-09-05	2019-09-05	North America	USA	Connecticut	1A	False	Culex restuans	OZ201338.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SLZW.1/2019-09-10	2019-09-10	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201345.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SM0U.1/2019-09-10	2019-09-10	North America	USA	Connecticut	1A	False	Culiseta melanura	OZ201635.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SM1S.1/2019-09-11	2019-09-11	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201353.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SM2Q.1/2019-09-11	2019-09-11	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201629.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SM3N.1/2019-09-12	2019-09-12	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201313.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SM4L.1/2019-09-12	2019-09-12	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201639.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SM5J.1/2019-09-12	2019-09-12	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201620.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SM6G.1/2019-09-16	2019-09-16	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201470.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SM7E.1/2019-09-23	2019-09-23	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201913.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SM8C.1/2019-09-24	2019-09-24	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201762.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SM9A.1/2019-09-24	2019-09-24	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201915.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_0010RL1.1/2022-01-01	2022-05-28	North America	USA	San Gabriel Valley, California	1A		Culex quinquefasciatus	PQ005946.1	Mariskanish, C. A.; Hallum, T.; Lee, S. S.; Conte, M. A.; Hang, J.
USA/PP_0010RSP.1/2022-01-01	2022-05-28	North America	USA	San Gabriel Valley, California	1A		Culex quinquefasciatus	PQ005944.1	Mariskanish, C. A.; Hallum, T.; Lee, S. S.; Conte, M. A.; Hang, J.
USA/PP_0010RTM.1/2022-01-01	2022-05-28	North America	USA	San Gabriel Valley, California	1A		Culex quinquefasciatus	PQ005945.1	Mariskanish, C. A.; Hallum, T.; Lee, S. S.; Conte, M. A.; Hang, J.
USA/PP_0010RUK.1/2022-01-01	2022-05-28	North America	USA	San Gabriel Valley, California	1A		Culex quinquefasciatus	PQ005947.1	Mariskanish, C. A.; Hallum, T.; Lee, S. S.; Conte, M. A.; Hang, J.
USA/PP_0010RVH.1/2022-01-01	2022-05-28	North America	USA	San Gabriel Valley, California	1A		Culex quinquefasciatus	PQ005948.1	Mariskanish, C. A.; Hallum, T.; Lee, S. S.; Conte, M. A.; Hang, J.
USA/PP_0010RWF.1/2022-01-01	2022-05-28	North America	USA	San Gabriel Valley, California	1A		Culex quinquefasciatus	PQ005949.1	Mariskanish, C. A.; Hallum, T.; Lee, S. S.; Conte, M. A.; Hang, J.
USA/PP_0010RXD.1/2022-01-01	2022-05-28	North America	USA	San Gabriel Valley, California	1A		Culex quinquefasciatus	PQ005950.1	Mariskanish, C. A.; Hallum, T.; Lee, S. S.; Conte, M. A.; Hang, J.
USA/PP_0010RYB.1/2022-01-01	2022-05-28	North America	USA	San Gabriel Valley, California	1A		Culex quinquefasciatus	PQ005951.1	Mariskanish, C. A.; Hallum, T.; Lee, S. S.; Conte, M. A.; Hang, J.
USA/PP_0010RZ9.1/2022-01-01	2022-05-28	North America	USA	San Gabriel Valley, California	1A		Culex quinquefasciatus	PQ005952.1	Mariskanish, C. A.; Hallum, T.; Lee, S. S.; Conte, M. A.; Hang, J.
USA/PP_0010S07.1/2022-01-01	2022-05-28	North America	USA	San Gabriel Valley, California	1A		Culex quinquefasciatus	PQ005953.1	Mariskanish, C. A.; Hallum, T.; Lee, S. S.; Conte, M. A.; Hang, J.
USA/PP_0010S15.1/2022-01-01	2022-05-28	North America	USA	San Gabriel Valley, California	1A		Culex quinquefasciatus	PQ005954.1	Mariskanish, C. A.; Hallum, T.; Lee, S. S.; Conte, M. A.; Hang, J.
USA/PP_0010S23.1/2022-01-01	2022-05-28	North America	USA	San Gabriel Valley, California	1A		Culex quinquefasciatus	PQ005955.1	Mariskanish, C. A.; Hallum, T.; Lee, S. S.; Conte, M. A.; Hang, J.
USA/PP_0010S31.1/2022-01-01	2022-05-28	North America	USA	San Gabriel Valley, California	1A		Culex quinquefasciatus	PQ005956.1	Mariskanish, C. A.; Hallum, T.; Lee, S. S.; Conte, M. A.; Hang, J.
USA/PP_0010S4Z.1/2022-01-01	2022-05-28	North America	USA	San Gabriel Valley, California	1A		Culex quinquefasciatus	PQ005957.1	Mariskanish, C. A.; Hallum, T.; Lee, S. S.; Conte, M. A.; Hang, J.
USA/PP_0010S5X.1/2022-01-01	2022-05-28	North America	USA	San Gabriel Valley, California	1A		Culex quinquefasciatus	PQ005958.1	Mariskanish, C. A.; Hallum, T.; Lee, S. S.; Conte, M. A.; Hang, J.
USA/PP_0010S6V.1/2022-01-01	2022-05-28	North America	USA	San Gabriel Valley, California	1A		Culex quinquefasciatus	PQ005959.1	Mariskanish, C. A.; Hallum, T.; Lee, S. S.; Conte, M. A.; Hang, J.
USA/PP_0010S7T.1/2022-01-01	2022-05-28	North America	USA	San Gabriel Valley, California	1A		Culex quinquefasciatus	PQ005960.1	Mariskanish, C. A.; Hallum, T.; Lee, S. S.; Conte, M. A.; Hang, J.
USA/PP_0010S8R.1/2021-01-01	2021-05-28	North America	USA	San Gabriel Valley, California	1A		Corvus	PQ005961.1	Mariskanish, C. A.; Hallum, T.; Lee, S. S.; Conte, M. A.; Hang, J.
USA/PP_0010S9P.1/2021-01-01	2021-05-28	North America	USA	San Gabriel Valley, California	1A		Corvus	PQ005962.1	Mariskanish, C. A.; Hallum, T.; Lee, S. S.; Conte, M. A.; Hang, J.
USA/PP_0010SAM.1/2021-01-01	2021-05-28	North America	USA	San Gabriel Valley, California	1A		Aphelocoma californica	PQ005963.1	Mariskanish, C. A.; Hallum, T.; Lee, S. S.; Conte, M. A.; Hang, J.
USA/PP_0010SBK.1/2021-01-01	2021-05-28	North America	USA	San Gabriel Valley, California	1A		Corvus	PQ005964.1	Mariskanish, C. A.; Hallum, T.; Lee, S. S.; Conte, M. A.; Hang, J.
USA/PP_0010SCH.1/2021-01-01	2021-05-28	North America	USA	San Gabriel Valley, California	1A		Corvus	PQ005965.1	Mariskanish, C. A.; Hallum, T.; Lee, S. S.; Conte, M. A.; Hang, J.
USA/PP_0010SDF.1/2021-01-01	2021-05-28	North America	USA	San Gabriel Valley, California	1A		Corvus	PQ005966.1	Mariskanish, C. A.; Hallum, T.; Lee, S. S.; Conte, M. A.; Hang, J.
USA/PP_0010SED.1/2021-01-01	2021-05-28	North America	USA	San Gabriel Valley, California	1A		Corvus	PQ005967.1	Mariskanish, C. A.; Hallum, T.; Lee, S. S.; Conte, M. A.; Hang, J.
USA/PP_0010SFB.1/2021-01-01	2021-05-28	North America	USA	San Gabriel Valley, California	1A		Corvus	PQ005968.1	Mariskanish, C. A.; Hallum, T.; Lee, S. S.; Conte, M. A.; Hang, J.
USA/PP_0010SG9.1/2021-01-01	2021-05-28	North America	USA	San Gabriel Valley, California	1A		Corvus	PQ005969.1	Mariskanish, C. A.; Hallum, T.; Lee, S. S.; Conte, M. A.; Hang, J.
USA/PP_0010SH6.1/2021-01-01	2021-05-28	North America	USA	San Gabriel Valley, California	1A		Corvus	PQ005970.1	Mariskanish, C. A.; Hallum, T.; Lee, S. S.; Conte, M. A.; Hang, J.
USA/PP_0010SJ4.1/2021-01-01	2021-05-28	North America	USA	San Gabriel Valley, California	1A		Corvus	PQ005971.1	Mariskanish, C. A.; Hallum, T.; Lee, S. S.; Conte, M. A.; Hang, J.
USA/PP_0010SK2.1/2021-01-01	2021-05-28	North America	USA	San Gabriel Valley, California	1A		Corvus	PQ005972.1	Mariskanish, C. A.; Hallum, T.; Lee, S. S.; Conte, M. A.; Hang, J.
USA/PP_0010SL0.1/2021-01-01	2021-05-28	North America	USA	San Gabriel Valley, California	1A		Corvus	PQ005973.1	Mariskanish, C. A.; Hallum, T.; Lee, S. S.; Conte, M. A.; Hang, J.
USA/PP_0010SMY.1/2021-01-01	2021-05-28	North America	USA	San Gabriel Valley, California	1A		Corvus	PQ005974.1	Mariskanish, C. A.; Hallum, T.; Lee, S. S.; Conte, M. A.; Hang, J.
USA/PP_0010SNW.1/2021-01-01	2021-05-28	North America	USA	San Gabriel Valley, California	1A		Fringillidae	PQ005975.1	Mariskanish, C. A.; Hallum, T.; Lee, S. S.; Conte, M. A.; Hang, J.
USA/PP_0010SPU.1/2021-01-01	2021-05-28	North America	USA	San Gabriel Valley, California	1A		Haemorhous mexicanus	PQ005976.1	Mariskanish, C. A.; Hallum, T.; Lee, S. S.; Conte, M. A.; Hang, J.
USA/PP_0010SQS.1/2021-01-01	2021-05-28	North America	USA	San Gabriel Valley, California	1A		Corvus	PQ005977.1	Mariskanish, C. A.; Hallum, T.; Lee, S. S.; Conte, M. A.; Hang, J.
USA/PP_0010SRQ.1/2021-01-01	2021-05-28	North America	USA	San Gabriel Valley, California	1A		Corvus	PQ005978.1	Mariskanish, C. A.; Hallum, T.; Lee, S. S.; Conte, M. A.; Hang, J.
USA/PP_0010SSN.1/2021-01-01	2021-05-28	North America	USA	San Gabriel Valley, California	1A		Corvus	PQ005979.1	Mariskanish, C. A.; Hallum, T.; Lee, S. S.; Conte, M. A.; Hang, J.
USA/PP_0010STL.1/2021-01-01	2021-05-28	North America	USA	San Gabriel Valley, California	1A		Corvus	PQ005980.1	Mariskanish, C. A.; Hallum, T.; Lee, S. S.; Conte, M. A.; Hang, J.
USA/PP_0010SUJ.1/2021-01-01	2021-05-28	North America	USA	San Gabriel Valley, California	1A		Corvus	PQ005981.1	Mariskanish, C. A.; Hallum, T.; Lee, S. S.; Conte, M. A.; Hang, J.
USA/PP_0010SVG.1/2021-01-01	2021-05-28	North America	USA	San Gabriel Valley, California	1A		Corvus	PQ005982.1	Mariskanish, C. A.; Hallum, T.; Lee, S. S.; Conte, M. A.; Hang, J.
USA/PP_0010SWE.1/2021-01-01	2021-05-28	North America	USA	San Gabriel Valley, California	1A		Corvus	PQ005983.1	Mariskanish, C. A.; Hallum, T.; Lee, S. S.; Conte, M. A.; Hang, J.
USA/PP_0010SXC.1/2021-01-01	2021-05-28	North America	USA	San Gabriel Valley, California	1A		Corvus	PQ005984.1	Mariskanish, C. A.; Hallum, T.; Lee, S. S.; Conte, M. A.; Hang, J.
USA/PP_0010SYA.1/2021-01-01	2021-05-28	North America	USA	San Gabriel Valley, California	1A		Corvus	PQ005985.1	Mariskanish, C. A.; Hallum, T.; Lee, S. S.; Conte, M. A.; Hang, J.
USA/PP_0010SZ8.1/2021-01-01	2021-05-28	North America	USA	San Gabriel Valley, California	1A		Corvus	PQ005986.1	Mariskanish, C. A.; Hallum, T.; Lee, S. S.; Conte, M. A.; Hang, J.
USA/PP_0010T14.1/2021-01-01	2021-05-28	North America	USA	San Gabriel Valley, California	1A		Corvus	PQ005988.1	Mariskanish, C. A.; Hallum, T.; Lee, S. S.; Conte, M. A.; Hang, J.
USA/PP_0010T22.1/2021-01-01	2021-05-28	North America	USA	San Gabriel Valley, California	1A		Corvus	PQ005989.1	Mariskanish, C. A.; Hallum, T.; Lee, S. S.; Conte, M. A.; Hang, J.
Spain/PP_00114U4.2/2020-01-01	2020-05-28	Europe	Spain	Cadiz, Andalusia	1A		Equus caballus	OP713601.1	Aguilera-Sepulveda, P.; Cano-Gomez, C.; Villalba, R.; Borges, V.; Aguero, M.; Bravo-Barriga, D.; Frontera, E.; Jimenez-Clavero, M. A.; Fernandez-Pinero, J.
Spain/PP_00114V2.2/2020-01-01	2020-05-28	Europe	Spain	Seville, Andalusia	1A		Equus caballus	OP713602.1	Aguilera-Sepulveda, P.; Cano-Gomez, C.; Villalba, R.; Borges, V.; Aguero, M.; Bravo-Barriga, D.; Frontera, E.; Jimenez-Clavero, M. A.; Fernandez-Pinero, J.
